Date,Open,High,Low,Close,Adj Close,Volume
2022-02-09,55400.000000,55400.000000,55400.000000,55400.000000,52909.472656,0
2022-02-10,56000.000000,56300.000000,55200.000000,55600.000000,53100.484375,1144645
2022-02-11,55000.000000,55400.000000,54800.000000,54900.000000,52431.953125,827091
2022-02-14,54900.000000,55100.000000,54400.000000,54700.000000,52240.945313,489020
2022-02-15,54900.000000,55300.000000,54400.000000,54800.000000,52336.453125,552983
2022-02-16,55600.000000,55600.000000,54900.000000,55300.000000,52813.972656,452892
2022-02-17,55500.000000,55900.000000,55100.000000,55500.000000,53004.980469,541061
2022-02-18,55500.000000,55500.000000,54900.000000,55000.000000,52527.460938,262007
2022-02-21,55000.000000,55000.000000,55000.000000,55000.000000,52527.460938,0
2022-02-22,55000.000000,55000.000000,55000.000000,55000.000000,52527.460938,0
2022-02-23,55000.000000,55000.000000,55000.000000,55000.000000,52527.460938,0
2022-02-24,54600.000000,54700.000000,53800.000000,54000.000000,51572.414063,618172
2022-02-25,54100.000000,54400.000000,53700.000000,53900.000000,51476.910156,330995
2022-02-28,53900.000000,53900.000000,53900.000000,53900.000000,51476.910156,0
2022-03-02,54300.000000,55200.000000,54000.000000,54500.000000,52049.933594,694441
2022-03-03,54600.000000,55100.000000,54600.000000,54900.000000,52431.953125,432559
2022-03-04,54900.000000,54900.000000,54900.000000,54900.000000,52431.953125,0
2022-03-07,55600.000000,56600.000000,55400.000000,56400.000000,53864.519531,737099
2022-03-08,56500.000000,57000.000000,55400.000000,56200.000000,53673.511719,688113
2022-03-10,56200.000000,56200.000000,56200.000000,56200.000000,53673.511719,0
2022-03-11,56200.000000,56200.000000,56200.000000,56200.000000,53673.511719,0
2022-03-14,57100.000000,59800.000000,57100.000000,59300.000000,56634.148438,856350
2022-03-15,59300.000000,59300.000000,59300.000000,59300.000000,56634.148438,0
2022-03-16,59300.000000,59300.000000,59300.000000,59300.000000,56634.148438,0
2022-03-17,59300.000000,59300.000000,59300.000000,59300.000000,56634.148438,0
2022-03-18,57200.000000,58100.000000,56700.000000,58100.000000,55488.093750,834171
2022-03-21,58100.000000,58100.000000,58100.000000,58100.000000,55488.093750,0
2022-03-22,56800.000000,57800.000000,56800.000000,57200.000000,54628.554688,408999
2022-03-23,57800.000000,58500.000000,57600.000000,58100.000000,55488.093750,468144
2022-03-24,58100.000000,58200.000000,57300.000000,57300.000000,54724.062500,337610
2022-03-25,57200.000000,57700.000000,56600.000000,57000.000000,54437.542969,468127
2022-03-28,57100.000000,58200.000000,56800.000000,58000.000000,55392.589844,459120
2022-03-29,58500.000000,58800.000000,58200.000000,58300.000000,55679.105469,575817
2022-03-30,57900.000000,58100.000000,56100.000000,56300.000000,54545.566406,930642
2022-03-31,56400.000000,57000.000000,56200.000000,56900.000000,55126.867188,474771
2022-04-01,56300.000000,57200.000000,56200.000000,57200.000000,55417.519531,488696
2022-04-04,57100.000000,58500.000000,56800.000000,58500.000000,56677.003906,609911
2022-04-05,58000.000000,58100.000000,57400.000000,57700.000000,55901.937500,314559
2022-04-06,57700.000000,58100.000000,57100.000000,57900.000000,56095.707031,339576
2022-04-07,57200.000000,58200.000000,57200.000000,58000.000000,56192.585938,550329
2022-04-08,58500.000000,60500.000000,58300.000000,60500.000000,58614.683594,1380058
2022-04-11,59900.000000,62600.000000,59500.000000,62500.000000,60552.359375,1200157
2022-04-12,62000.000000,63100.000000,61100.000000,62500.000000,60552.359375,1035731
2022-04-13,62900.000000,63100.000000,61500.000000,61500.000000,59583.523438,634856
2022-04-14,61300.000000,61300.000000,59400.000000,60500.000000,58614.683594,1160788
2022-04-15,60000.000000,60200.000000,58500.000000,59500.000000,57645.847656,1083415
2022-04-18,59100.000000,60100.000000,58800.000000,59800.000000,57936.496094,369109
2022-04-19,60000.000000,60700.000000,59900.000000,60400.000000,58517.800781,396501
2022-04-20,60500.000000,61900.000000,60300.000000,61300.000000,59389.753906,784374
2022-04-21,61800.000000,62000.000000,61300.000000,62000.000000,60067.941406,614446
2022-04-22,61300.000000,61900.000000,61100.000000,61600.000000,59680.406250,500407
2022-04-25,60800.000000,60900.000000,59500.000000,59600.000000,57742.726563,456090
2022-04-26,59700.000000,59800.000000,58500.000000,59000.000000,57161.429688,808373
2022-04-27,58100.000000,58300.000000,55800.000000,56800.000000,55029.984375,1696978
2022-04-28,56900.000000,56900.000000,55100.000000,56700.000000,54933.101563,1247497
2022-04-29,56800.000000,57300.000000,56700.000000,57000.000000,55223.750000,640368
2022-05-02,56800.000000,57200.000000,56300.000000,57000.000000,55223.750000,303132
2022-05-03,56900.000000,57800.000000,56700.000000,57800.000000,55998.820313,438613
